Borough,Month,Value
Croydon,2011-01,2687
Croydon,2011-02,2489
Croydon,2011-03,2772
Croydon,2011-04,2625
Croydon,2011-05,2807
Croydon,2011-06,2838
Croydon,2011-07,2865
Croydon,2011-08,3004
Croydon,2011-09,2537
Croydon,2011-10,2727
Croydon,2011-11,2712
Croydon,2011-12,2309
Croydon,2012-01,3161
Croydon,2012-02,2362
Croydon,2012-03,2836
Croydon,2012-04,2566
Croydon,2012-05,2815
Croydon,2012-06,2707
Croydon,2012-07,2713
Croydon,2012-08,2614
Croydon,2012-09,2565
Croydon,2012-10,2674
Croydon,2012-11,2870
Croydon,2012-12,2533
Croydon,2013-01,2424
Croydon,2013-02,2261
Croydon,2013-03,2372
Croydon,2013-04,2250
Croydon,2013-05,2348
Croydon,2013-06,2421
Croydon,2013-07,2622
Croydon,2013-08,2380
Croydon,2013-09,2266
Croydon,2013-10,2515
Croydon,2013-11,2361
Croydon,2013-12,2231
Croydon,2014-01,2484
Croydon,2014-02,2031
Croydon,2014-03,2301
Croydon,2014-04,2122
Croydon,2014-05,2229
Croydon,2014-06,2367
Croydon,2014-07,2459
Croydon,2014-08,2303
Croydon,2014-09,2402
Croydon,2014-10,2565
Croydon,2014-11,2528
Croydon,2014-12,2556
Croydon,2015-01,2475
Croydon,2015-02,2172
Croydon,2015-03,2628
Croydon,2015-04,2399
Croydon,2015-05,2617
Croydon,2015-06,2673
Croydon,2015-07,2473
Croydon,2015-08,2325
Croydon,2015-09,2304
Croydon,2015-10,2370
Croydon,2015-11,2557
Croydon,2015-12,2339
Croydon,2016-01,2334
Croydon,2016-02,2260
Croydon,2016-03,2312
Croydon,2016-04,2454
Croydon,2016-05,2724
Croydon,2016-06,2578
Croydon,2016-07,2824
Croydon,2016-08,2636
Croydon,2016-09,2609
Croydon,2016-10,2524
Croydon,2016-11,2426
Croydon,2016-12,2518
Hammersmith & Fulham,2011-01,2019
Hammersmith & Fulham,2011-02,1744
Hammersmith & Fulham,2011-03,2086
Hammersmith & Fulham,2011-04,1942
Hammersmith & Fulham,2011-05,2123
Hammersmith & Fulham,2011-06,2068
Hammersmith & Fulham,2011-07,2031
Hammersmith & Fulham,2011-08,1966
Hammersmith & Fulham,2011-09,1862
Hammersmith & Fulham,2011-10,1916
Hammersmith & Fulham,2011-11,1995
Hammersmith & Fulham,2011-12,1923
Hammersmith & Fulham,2012-01,1802
Hammersmith & Fulham,2012-02,1787
Hammersmith & Fulham,2012-03,1958
Hammersmith & Fulham,2012-04,1896
Hammersmith & Fulham,2012-05,2048
Hammersmith & Fulham,2012-06,1875
Hammersmith & Fulham,2012-07,1938
Hammersmith & Fulham,2012-08,1876
Hammersmith & Fulham,2012-09,1839
